Id,Id2,Geography,total,white,black,asian,hispanic,other
310M200US17020,17020,"Chico, CA Metro Area",221578,164509,2996,9298,32968,11807
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2131793,1725082,258022,43942,58951,45796
310M200US17300,17300,"Clarksville, TN-KY Metro Area",270751,183287,49410,4845,21552,11657
310M200US17420,17420,"Cleveland, TN Metro Area",117719,104521,4492,1008,5462,2236
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",2067490,1471844,406173,42333,103862,43278
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",142783,130660,418,1406,5819,4480
310M200US17780,17780,"College Station-Bryan, TX Metro Area",235316,138028,26870,11141,55123,4154
310M200US17820,17820,"Colorado Springs, CO Metro Area",669070,479825,36640,17038,102782,32785
310M200US17860,17860,"Columbia, MO Metro Area",168268,135326,14613,6678,5259,6392
310M200US17900,17900,"Columbia, SC Metro Area",784698,453395,258323,14260,41157,17563
310M200US17980,17980,"Columbus, GA-AL Metro Area",308363,151392,121382,5575,19905,10109
310M200US18020,18020,"Columbus, IN Metro Area",78628,67224,1513,3452,4917,1522
310M200US18140,18140,"Columbus, OH Metro Area",1948188,1476270,278542,63475,71725,58176
310M200US18580,18580,"Corpus Christi, TX Metro Area",437528,153876,14191,6735,256897,5829
310M200US18700,18700,"Corvallis, OR Metro Area",86034,71149,834,5150,5788,3113
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",246805,191685,19945,6165,18087,10923
310M200US19060,19060,"Cumberland, MD-WV Metro Area",101888,91318,6690,664,1377,1839
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6703020,3309105,987672,377572,1865174,163497
310M200US19140,19140,"Dalton, GA Metro Area",142548,96073,4323,1346,39001,1805
310M200US19180,19180,"Danville, IL Metro Area",80773,64396,10905,667,3626,1179
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",191205,159047,17833,1256,8630,4439
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",381913,309208,27309,6605,30630,8161
310M200US19380,19380,"Dayton, OH Metro Area",801259,620655,124246,16369,18555,21434
310M200US19460,19460,"Decatur, AL Metro Area",153579,118174,18020,786,9967,6632
310M200US19500,19500,"Decatur, IL Metro Area",109833,85294,16562,1338,2200,4439
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",597824,444823,61263,10584,67730,13424
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2651392,1732199,141411,97977,600786,79019
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",590741,488921,28087,19588,40800,13345
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4292647,2895374,962131,153687,174657,106798
310M200US20020,20020,"Dothan, AL Metro Area",147165,104408,34099,1158,4616,2884
310M200US20100,20100,"Dover, DE Metro Area",167477,107420,39261,3385,10648,6763
310M200US20220,20220,"Dubuque, IA Metro Area",95166,87930,1449,1222,1970,2595
310M200US20260,20260,"Duluth, MN-WI Metro Area",279894,256106,4014,2591,3839,13344
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",525050,288190,139895,23075,59289,14601
310M200US20700,20700,"East Stroudsburg, PA Metro Area",168342,116388,21282,3380,23410,3882
310M200US20740,20740,"Eau Claire, WI Metro Area",163658,151383,1542,3899,2960,3874
310M200US20940,20940,"El Centro, CA Metro Area",177026,22957,4802,2385,144090,2792
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",150917,121628,14426,2511,7400,4952
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",199544,152558,10941,2025,29150,4870
310M200US21300,21300,"Elmira, NY Metro Area",88681,77064,4927,1289,2459,2942
310M200US21340,21340,"El Paso, TX Metro Area",827206,110958,24416,8347,673580,9905
310M200US21500,21500,"Erie, PA Metro Area",280132,240599,18981,3780,10186,6586
310M200US21660,21660,"Eugene, OR Metro Area",354764,297202,3108,8624,27879,17951
310M200US21780,21780,"Evansville, IN-KY Metro Area",313450,275184,20934,3098,6506,7728
310M200US21820,21820,"Fairbanks, AK Metro Area",99319,72005,4228,2648,6857,13581
310M200US22020,22020,"Fargo, ND-MN Metro Area",218290,195611,5420,4615,5862,6782
310M200US22140,22140,"Farmington, NM Metro Area",127358,52636,620,463,24659,48980
310M200US22180,22180,"Fayetteville, NC Metro Area",374036,169728,130627,8064,39754,25863
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",483396,362469,10366,13051,73959,23551
310M200US22380,22380,"Flagstaff, AZ Metro Area",135817,74410,1792,2101,18683,38831
310M200US22420,22420,"Flint, MI Metro Area",418654,303735,84672,4013,13171,13063
310M200US22500,22500,"Florence, SC Metro Area",206219,111639,84717,1877,4425,3561
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",147271,122033,17870,915,3450,3003
310M200US22540,22540,"Fond du Lac, WI Metro Area",101709,92943,1147,1212,4665,1742
310M200US22660,22660,"Fort Collins, CO Metro Area",311435,260863,2646,5688,33750,8488
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",280394,207818,10391,6964,25207,30014
310M200US23060,23060,"Fort Wayne, IN Metro Area",422029,331466,41739,11062,25876,11886
310M200US23420,23420,"Fresno, CA Metro Area",948844,300279,45398,90465,485914,26788
310M200US23460,23460,"Gadsden, AL Metro Area",104126,81954,15955,696,3669,1852
310M200US23540,23540,"Gainesville, FL Metro Area",268707,173430,50865,13897,22926,7589
310M200US23580,23580,"Gainesville, GA Metro Area",185318,116190,13511,3138,49756,2723
310M200US23900,23900,"Gettysburg, PA Metro Area",101566,91541,1426,710,6434,1455
310M200US24020,24020,"Glens Falls, NY Metro Area",128298,120471,2424,956,2824,1623
310M200US24140,24140,"Goldsboro, NC Metro Area",124093,68108,38523,1281,13040,3141
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",99774,87566,2023,1702,4147,4336
310M200US24260,24260,"Grand Island, NE Metro Area",83426,64575,1361,685,15686,1119
310M200US24300,24300,"Grand Junction, CO Metro Area",147509,121600,996,893,20161,3859
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",1007329,807583,62534,22976,88947,25289
310M200US24420,24420,"Grants Pass, OR Metro Area",83021,73113,259,502,5549,3598
310M200US24500,24500,"Great Falls, MT Metro Area",81953,70970,1085,663,3090,6145
310M200US24540,24540,"Greeley, CO Metro Area",265066,177812,2541,3340,75658,5715
310M200US24580,24580,"Green Bay, WI Metro Area",310726,264779,5434,7458,20482,12573
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",735777,448016,187814,23221,57588,19138
310M200US24780,24780,"Greenville, NC Metro Area",172438,97411,58423,2854,9802,3948
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",842817,623039,139507,13133,52380,14758
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",378972,263034,77838,9135,18974,9991
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",256237,213802,21990,3193,9884,7368
310M200US25220,25220,"Hammond, LA Metro Area",124125,79470,37000,887,4649,2119
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",151390,52180,9412,5285,78911,5602
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",555154,441569,54515,16730,28766,13574
310M200US25500,25500,"Harrisonburg, VA Metro Area",128166,105579,4476,2335,13192,2584
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1215159,852398,123047,51090,161153,27471
310M200US25620,25620,"Hattiesburg, MS Metro Area",146370,97080,42066,1534,3899,1791
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",363936,298777,24871,9190,23852,7246
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",194495,122524,42875,2063,23439,3594
310M200US25980,25980,"Hinesville, GA Metro Area",80456,37038,29499,1269,9099,3551
310M200US26140,26140,"Homosassa Springs, FL Metro Area",139771,124540,3995,2206,6899,2131
310M200US26300,26300,"Hot Springs, AR Metro Area",96804,80697,7993,838,4935,2341
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",209402,151646,34146,1831,8937,12842
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6204141,2393842,1046619,426769,2229355,107556
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",364514,344117,8016,1982,3630,6769
310M200US26620,26620,"Huntsville, AL Metro Area",430396,293738,92592,9410,20918,13738
310M200US26820,26820,"Idaho Falls, ID Metro Area",136057,115829,578,721,15739,3190
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1931182,1440533,279547,44827,119088,47187
310M200US26980,26980,"Iowa City, IA Metro Area",158708,132120,7057,7942,8223,3366
310M200US27060,27060,"Ithaca, NY Metro Area",103179,81157,3982,10175,4706,3159
310M200US27100,27100,"Jackson, MI Metro Area",159927,136532,13267,1052,5103,3973
310M200US27140,27140,"Jackson, MS Metro Area",574998,271969,278370,6214,13089,5356
310M200US27180,27180,"Jackson, TN Metro Area",130233,82345,40011,1154,5176,1547
310M200US27260,27260,"Jacksonville, FL Metro Area",1380995,897312,293342,47880,102986,39475
310M200US27340,27340,"Jacksonville, NC Metro Area",182921,124000,27949,3478,20552,6942
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",160465,134931,5524,1770,12685,5555
310M200US27620,27620,"Jefferson City, MO Metro Area",150440,130594,11024,1136,3540,4146
310M200US27740,27740,"Johnson City, TN Metro Area",200271,183797,5575,1844,5533,3522
310M200US27780,27780,"Johnstown, PA Metro Area",140835,131087,4784,717,2118,2129
310M200US27860,27860,"Jonesboro, AR Metro Area",124194,100214,15487,1139,5150,2204
310M200US27900,27900,"Joplin, MO Metro Area",175679,151124,3076,1912,11183,8384
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",158887,50030,867,41512,16809,49669
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",330439,263560,30664,6446,19156,10613
310M200US28100,28100,"Kankakee, IL Metro Area",112682,82076,16507,1202,10584,2313
310M200US28140,28140,"Kansas City, MO-KS Metro Area",2040869,1504088,253023,49661,173127,60970
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",266561,169736,4158,6497,78792,7378
310M200US28660,28660,"Killeen-Temple, TX Metro Area",417887,219812,77659,10076,89798,20542
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",308800,291981,5637,1581,4432,5169
310M200US28740,28740,"Kingston, NY Metro Area",181598,146692,9269,3311,16841,5485
310M200US28940,28940,"Knoxville, TN Metro Area",847765,743182,49641,11678,27799,15465
310M200US29020,29020,"Kokomo, IN Metro Area",82914,71743,5744,1035,2400,1992
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",135329,123897,1671,5127,2041,2593
310M200US29180,29180,"Lafayette, LA Metro Area",475457,326077,116729,7007,16132,9512
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",207013,168097,7757,12261,15139,3759
310M200US29340,29340,"Lake Charles, LA Metro Area",201656,140803,48628,2431,5631,4163
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",202482,159353,1890,2182,31101,7956
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",617323,390132,90118,10234,115072,11767
310M200US29540,29540,"Lancaster, PA Metro Area",526839,442011,17695,10506,48984,7643
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",467122,362735,38168,18226,29768,18225
310M200US29700,29700,"Laredo, TX Metro Area",259471,9316,691,1468,247596,400
310M200US29740,29740,"Las Cruces, NM Metro Area",212942,62649,3223,2291,141087,3692
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2003613,931696,206624,177047,596587,91659
310M200US29940,29940,"Lawrence, KS Metro Area",113703,91632,4220,4768,6240,6843
310M200US30020,30020,"Lawton, OK Metro Area",131804,77749,20656,2483,15569,15347
310M200US30140,30140,"Lebanon, PA Metro Area",135184,115439,2234,1430,14110,1971
310M200US30300,30300,"Lewiston, ID-WA Metro Area",61610,55048,243,590,2029,3700
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",107470,98452,1675,895,1769,4679
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",483997,380210,51975,11875,28254,11683
310M200US30620,30620,"Lima, OH Metro Area",105562,86408,12293,821,2718,3322
310M200US30700,30700,"Lincoln, NE Metro Area",310665,261674,10935,11501,18679,7876
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",716849,494393,161340,10838,35289,14989
310M200US30860,30860,"Logan, UT-ID Metro Area",128807,109585,728,2603,12696,3195
310M200US30980,30980,"Longview, TX Metro Area",216746,141048,37640,2164,32393,3501
310M200US31020,31020,"Longview, WA Metro Area",102072,86906,543,1416,8285,4922
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13060534,4035246,849204,1946958,5851262,377864
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",1253305,977415,171950,21242,51845,30853
310M200US31180,31180,"Lubbock, TX Metro Area",298578,166518,20028,5714,100573,5745
310M200US31340,31340,"Lynchburg, VA Metro Area",255440,196141,43493,3802,5780,6224
310M200US31420,31420,"Macon, GA Metro Area",231956,118036,101477,3050,5865,3528
310M200US31460,31460,"Madera, CA Metro Area",152452,56174,4927,3008,84009,4334
310M200US31540,31540,"Madison, WI Metro Area",620368,519389,25985,26672,33652,14670
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",402776,349690,7588,14067,22706,8725
310M200US31740,31740,"Manhattan, KS Metro Area",96816,78323,4903,3592,6654,3344
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",97643,88379,2674,1620,3120,1850
310M200US31900,31900,"Mansfield, OH Metro Area",122813,106097,10360,770,1937,3649
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",806447,60001,3281,7879,733179,2107
310M200US32780,32780,"Medford, OR Metro Area",206583,171054,1291,2011,23606,8621
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",1337014,608133,612070,25906,68233,22672
310M200US32900,32900,"Merced, CA Metro Area",261609,79818,8676,19477,147270,6368
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5775204,1943471,1159159,133437,2447775,91362
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",111293,89845,11682,587,6421,2758
310M200US33220,33220,"Midland, MI Metro Area",83620,77115,1087,1927,1909,1582
310M200US33260,33260,"Midland, TX Metro Area",151483,77080,8934,2098,61045,2326
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1565368,1068501,255814,48326,154602,38125
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3424786,2668424,250641,202415,188202,115104
310M200US33540,33540,"Missoula, MT Metro Area",111011,100271,455,1159,3205,5921
310M200US33660,33660,"Mobile, AL Metro Area",414045,242009,144312,7891,10710,9123
310M200US33700,33700,"Modesto, CA Metro Area",522794,237248,13055,26684,225013,20794
310M200US33740,33740,"Monroe, LA Metro Area",177908,106871,63245,1411,4112,2269
310M200US33780,33780,"Monroe, MI Metro Area",150851,138946,3429,859,4885,2732
310M200US33860,33860,"Montgomery, AL Metro Area",375225,189621,161453,6308,11629,6214
310M200US34060,34060,"Morgantown, WV Metro Area",134052,121294,4587,3303,2375,2493
310M200US34100,34100,"Morristown, TN Metro Area",115029,100189,3681,531,8605,2023
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",118364,89934,692,1970,20544,5224
310M200US34620,34620,"Muncie, IN Metro Area",117441,102944,6272,1349,2313,4563
310M200US34740,34740,"Muskegon, MI Metro Area",171328,132044,23023,1056,8688,6517
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",396187,309968,50293,3855,22945,9126
310M200US34900,34900,"Napa, CA Metro Area",139253,76531,2853,10201,45937,3731
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",334474,216765,21947,4140,88094,3528
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1730515,1275640,262488,40093,115848,36446
310M200US35100,35100,"New Bern, NC Metro Area",127820,85800,27478,2170,7829,4543
310M200US35300,35300,"New Haven-Milford, CT Metro Area",863148,569982,103377,31932,137844,20013
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",1226440,648427,420356,34247,100011,23399
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19865045,9620742,3150927,2015067,4624426,453883
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",155992,117817,23277,2801,7566,4531
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",722784,568903,46153,11395,83786,12547
310M200US35980,35980,"Norwich-New London, CT Metro Area",274071,211433,14446,11658,25384,11150
310M200US36100,36100,"Ocala, FL Metro Area",334771,243893,40888,4613,38444,6933
310M200US36140,36140,"Ocean City, NJ Metro Area",96286,83088,4226,1051,6504,1417
310M200US36220,36220,"Odessa, TX Metro Area",144932,55549,5889,1185,80169,2140
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",614521,507645,6369,9057,73275,18175
310M200US36420,36420,"Oklahoma City, OK Metro Area",1297998,863480,129970,38543,154696,111309
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",259330,200863,7075,14843,20150,16399
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",886157,691383,67256,19433,83144,24941
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2226835,1143255,339387,89456,595064,59673
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",168413,151770,2884,3843,6193,3723
310M200US36980,36980,"Owensboro, KY Metro Area",115795,105020,4629,814,2860,2472
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",835790,397118,13499,57102,344520,23551
